user,diffRankings,narrRankings,enjRankings,diffComment,narrComment,enjComment,category,mapping,nar_diff_rank,if_diff_rank,hints_diff_rank,if_narr_rank,nar_narr_rank,hints_narr_rank,if_enj_rank,hints_enj_rank,nar_enj_rank
9pHECg5KvFTWaUWPLLhqbvrK1ZG3,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","I couldn't even tell if this the Ball puzzle was solvable. I couldn't figure out the clues. The clues on the train puzzle were written out, so I didn't have to decipher what the paragraphs were trying to tell me.",The story of the chili was evolving. the train one didn't haver much of a story.,The chili competition had places you could go to search for clues. I enjoyed how interactive it was. I even think their was a hidden clue option that unlocked based on what was found in other searches. I liked that a lot. The ball was intriguing but I felt that I didn't have enough information to even try to put guesses together and I lost interest in even trying.,expert,"{'The Great Chili Competition': 'if', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'hints'}",3,2,1,3,2,1,3,2,1
WJuybwMOicZoFpZ01GBKOSHaUcy1,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']",I thought the Great Chili Competition was the easier puzzle out of the 3 because I actually answered some of the questions right and its story was simple and straightforward. The other two puzzles had a lot of details in it and a bit confusing. ,I thought Lady Rose's Chrysanthenum Ball had that best narrative because the characters were memorable and the story itself was interesting. I gave the Wild Rose Train the lowest narrative rating because the story was a bit confusing and hard to follow. ,"I enjoyed the Great Chili Competition because the story was simple and easy to follow. Also, the clues in it were very helpful. I didn't like the Wild Rose Train because because it is very detailed and I didn't like how I add to  manually press choices to show the upcoming conversation.",intermediate,"{'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'if'}",2,3,1,1,3,2,1,3,2
FreFVBMBEQQ0ZKRe9r398Rj8nWE2,"[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","They were all difficult for me, equally, so I just picked at random because I couldn't make them all most difficult.","I find chili making the most interesting, then trains next because I like to ride them, and a ball last because I don't dance and couldn't really appreciate the scene as well as the others.","I didn't really enjoy any of them because they made me feel stupid, as I couldn't figure them out, no matter how I tried. That said, I have never been very good with story problems. My brain doesn't seem to work that way.",novice,"{'The Wild Rose Train': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if', 'The Great Chili Competition': 'nar'}",1,3,2,1,3,2,1,2,3
ZyIOgZpVx5TzZQ3eZ7HrpKYF2Su2,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']",I difficulty of the train was because it had alot of reading and retention ,I likes the ball the most it was my first puzzle.,The train was the most fun even though it was alot of reading.,novice,"{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'if'}",2,3,1,2,1,3,3,2,1
vZJn1zw30BNrvsBjTVzYaIPeyqt2,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']",I thought The Great Chili competition was the easiest to solve with the most hints. The hardest was the Wild Rose Train because I felt like there weren't enough clues. The second was the Lady Rose Ball because I felt like it gave a lot of info but at least half of it wasn't helpful.,The Great Chili one was very relatable and cute little story. The Lady Rose one had a lot more plot to the story and felt like a murder mystery even though it was a missing necklace but I liked that about it. The train one was just kind of boring.,I enjoyed the Chili one the most because I felt like it was the easier of the 3 for me personally and was fun to do. The Lady Rose Ball was interesting and felt more like a story. The Train one wasn't that entertaining. ,expert,"{'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if'}",1,2,3,2,3,1,2,1,3
6PajHxVHJlYepK7xa8p0H9Vvl2Q2,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']",That's how difficult I felt each one had,That's how I felt about each narrative,That's how much I enjoyed each one,intermediate,"{'The Wild Rose Train': 'nar', 'The Great Chili Competition': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints'}",2,3,1,1,2,3,2,3,1
jcfCyVhF1nWpCHLeD38IAOSbZh72,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']",I spent most of my time on the first one,The first one barely gave me any clues,I really liked the story of the 1st one even though it was the hardest.,expert,"{'The Great Chili Competition': 'if', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'hints'}",1,3,2,3,1,2,3,1,2
3MYLQFwvanbnoQzFlo2ovXqbESD2,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']",The hardest was choose your own adventure so it was a lot of trial and error and detective work.,I liked the choose your own adventure style of the train one.,The chili one was more of a list and very boring story.,novice,"{'The Great Chili Competition': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'if'}",3,1,2,3,1,2,3,2,1
NDOnKGmFqWfikeqvRJTicPQbBjr1,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']",Because Lady Rose's Chrysanthemum Ball have the longest story.,Because it is what I think for my rank.,Because I don't like to play and watch the story of Lady Rose's Chrysanthemum Ball.,novice,"{""Lady Rose's Chrysanthemum Ball"": 'if', 'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'hints'}",2,3,1,3,1,2,3,1,2
48B5w6COCQOWIDfPHuovb5BgpJB2,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']",It was a lot easier to understand for the ball since it was all in one sitting. The chili it was a little comprehend since I had to keep flipping through. Then for the wild rose train my brain was simply a mess trying to figure everything out.,The wild rose train had a lot of narrative and story to it. The chili had less but more than the ball.,Even though I couldn't get any of them right it was more enjoyable the easier they were.,expert,"{'The Wild Rose Train': 'if', 'The Great Chili Competition': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'hints'}",2,1,3,3,2,1,1,3,2
