userId,gridExp,logicExp,genreOrder,narrOrder,modeMap,trainMode,ballroomMode,chiliMode,tutorialTime,tutorialSlide,category,numPuzzles,totalTime,averageTime
zZaKWFwzn5VjZlxG3qs9pZvqz6D2,1,1,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['if', 'hints', 'nar']","{'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'nar'}",if,hints,nar,220328,11,novice,3,2241838.0,747279.3333333334
uLnAA7jRyjU4PnjP9L010bKGkmh1,1,2,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['nar', 'hints', 'if']","{'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if'}",hints,if,nar,141287,11,intermediate,3,842428.0,280809.3333333333
jJXzucf6g6b9pIi0NayKgYypFOX2,1,2,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['hints', 'if', 'nar']","{'The Great Chili Competition': 'hints', 'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'nar'}",if,nar,hints,60527,11,intermediate,2,539468.0,269734.0
Mtwtn6LCbFUPztbca1dIlQ7btmD2,1,1,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['if', 'nar', 'hints']","{""Lady Rose's Chrysanthemum Ball"": 'if', 'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'hints'}",hints,if,nar,127449,11,novice,1,100608.0,100608.0
8ZOsdeCsVSMwTuuzggjgJjJ9Qcn2,1,2,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['nar', 'hints', 'if']","{'The Wild Rose Train': 'nar', 'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if'}",nar,if,hints,31878,11,intermediate,1,129150.0,129150.0
j8mcM8jvRyglTPaZRt1hpF624lO2,1,2,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['hints', 'nar', 'if']","{'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'if'}",if,nar,hints,302470,11,intermediate,1,0.0,0.0
duC3jtg0i8gg1D7oferIXzXyq883,2,2,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['if', 'hints', 'nar']","{'The Wild Rose Train': 'if', 'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'nar'}",if,nar,hints,740575,11,expert,1,674921.0,674921.0
8h74v3Y0ZsXOXuXJ1ZdROV5OZvX2,1,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","['nar', 'if', 'hints']","{""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'if', 'The Great Chili Competition': 'hints'}",if,nar,hints,291005,11,intermediate,2,2304134.0,1152067.0
H42wt2CZzKXPqdyYu2mNH6yz6MD3,2,1,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['hints', 'if', 'nar']","{'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if', 'The Wild Rose Train': 'nar'}",nar,if,hints,26108,11,expert,2,1221781.0,610890.5
Oo5feM6RCFcEnmcjmjhgeJpmSMk1,2,2,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['if', 'hints', 'nar']","{'The Wild Rose Train': 'if', 'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'nar'}",if,nar,hints,122179,11,expert,3,5192337.0,1730779.0
0TC21VY61rSh86RPqhzm8Dx6AN72,2,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['hints', 'nar', 'if']","{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'if'}",if,hints,nar,164578,11,expert,3,887672.0,295890.6666666667
